,place_name,place_ID,latitude,Longitude,plus_code,rating,user_ratings_total,business_status,types,address,region,population,num_bus_stop,num_mall
277,Millenia Walk,ChIJo_z7IqkZ2jERE1tkSZmYR8o,1.2928181,103.8598344,7VV5+4W Singapore,4.2,4456,OPERATIONAL,shopping_mall,"9 Raffles Blvd, Singapore 039596",Downtown Core,3720,18,3
278,Square 2 @ Novena,ChIJoavrZ-cZ2jEROHbTzqYlVM4,1.3208322,103.8441474,8RCV+8M Singapore,4,2626,OPERATIONAL,shopping_mall,"10 Sinaran Dr, Singapore 307506",Novena,47990,15,5
279,Excelsior Shopping Centre,ChIJofx2MKEZ2jERlaZeNQxPQt8,1.292045,103.8497894,7RRX+RW Singapore,3.7,271,OPERATIONAL,shopping_mall,"5 Coleman St, #03-27, Singapore 179805",Downtown Core,3720,13,6
280,Game Resort,ChIJpYTOL30T2jERKt6IkL09OU4,1.4481651,103.8194747,CRX9+7Q Singapore,3.5,24,OPERATIONAL,shopping_mall,"30 Sembawang Dr, #02-04, Singapore 757713",Sembawang,76530,10,1
281,Icon Village,ChIJpZh7TmsZ2jER8N5QwOBLdIw,1.2753013,103.8443917,7RGV+4Q Singapore,4.1,453,OPERATIONAL,shopping_mall,"12 Gopeng St, Singapore 078877",Downtown Core,3720,15,5
282,Queensway Shopping Centre,ChIJpeuce8sb2jERad66-Hwmus8,1.2877846,103.8036027,7RQ3+4C Singapore,4.2,2113,OPERATIONAL,shopping_mall,"1 Queensway, Singapore 149053",Queenstown,98050,0,2
283,Punggol Plaza,ChIJpwNkYAIW2jERFRkVIyvEAao,1.394228,103.913016,9WV7+M6 Singapore,3.8,2492,OPERATIONAL,shopping_mall,"168 Punggol Field, Singapore 820168",Punggol,109750,8,0
284,Palais Renaissance,ChIJq5AW6IwZ2jERLFhlkwXcXes,1.3067391,103.829583,8R4H+MR Singapore,4.1,291,OPERATIONAL,shopping_mall,"390 Orchard Rd, Singapore 238871",Orchard,920,8,13
285,The Midtown,ChIJq6pq5DYW2jERQThsvxpmytI,1.37047,103.8954838,9VCW+55 Singapore,3.7,79,OPERATIONAL,shopping_mall,"1187 Upper Serangoon Rd, Singapore 533971",Hougang,222310,0,2
286,oldsowhat vintage shop,ChIJq6pq6JYZ2jERVqh_iOmKu6g,1.3035078,103.8617789,8V36+CP Singapore,5,9,OPERATIONAL,shopping_mall,"#03-33, Jln Sultan, Sultan Plaza, Singapore 199001",Kallang,101210,11,7
287,Pagoda House,ChIJq6rONXMZ2jERJ7zYe9ZCWZU,1.283224,103.844439,7RMV+7Q Singapore,4.8,6,OPERATIONAL,shopping_mall,"51 Pagoda St, Singapore 059210",Outram,22080,30,15
288,The Clementi Mall,ChIJq8UGJo4a2jER0ypiQDLiXpg,1.3146904,103.7640272,8Q77+VJ Singapore,4.1,6969,OPERATIONAL,shopping_mall,"3155 Commonwealth Ave W, Singapore 129588",Clementi,91630,11,2
289,Shopee Building,ChIJqUDfaoYb2jERlXDIuUrGhSY,1.2924997,103.7864281,7QRP+XH Singapore,4.1,10,OPERATIONAL,shopping_mall,"5 Science Park Dr, Singapore",Queenstown,98050,10,0
290,Scotts Square,ChIJqWqdfo0Z2jER7ly1IAAHMXE,1.3058788,103.8329554,8R4M+95 Singapore,4.2,1329,OPERATIONAL,shopping_mall,"6 Scotts Rd, Singapore 228209",Orchard,920,11,18
291,Reservoir Shopping Center,ChIJqWqo1Vc92jERXCLUoxFLbuk,1.3328685,103.9145523,8WM7+4R Singapore,4,275,OPERATIONAL,shopping_mall,"631 Bedok Reservoir Rd, Singapore 470631",Bedok,289750,0,0
292,MDP Industries,ChIJqys0chIZ2jERHa5mZ39Lmk8,1.2791856,103.8488437,7RHX+MG Singapore,3.5,12,OPERATIONAL,shopping_mall,"112 Robinson Rd, Singapore 068902",Downtown Core,3720,26,3
293,Funan Mall,ChIJqz4D-d8Z2jERj4HjyaJtGvI,1.291321,103.8500832,7VR2+G2 Singapore,4.3,3163,OPERATIONAL,shopping_mall,"107 North Bridge Rd, Singapore 179105",Downtown Core,3720,15,6
294,Viva Vista Shopping Mall,ChIJr1piWqUb2jERe2fPwBJvucU,1.279654,103.7861058,7QHP+VC Singapore,3.5,135,OPERATIONAL,shopping_mall,"3 South Buona Vista Rd, #B1-25 Viva Vista, Singapore 118136",Queenstown,98050,0,0
295,Reservoir Village,ChIJr5Tkqls92jER2KMjYsfTz8M,1.337805,103.922602,8WQF+42 Singapore,4.2,299,OPERATIONAL,shopping_mall,"740 Bedok Reservoir Rd, Singapore 470740",Bedok,289750,0,0
296,Balestier Point,ChIJr_prp48Z2jERgrHzdwdwbys,1.3227672,103.851969,8VF2+4Q Singapore,3.9,29,OPERATIONAL,shopping_mall,"279 Balestier Rd, Singapore 329727",Novena,47990,1,3
297,Lot One Shoppers' Mall,ChIJs5CBlukR2jER-uyFhQ2NFbU,1.3851169,103.7449142,9PPV+2X Singapore,4,5475,OPERATIONAL,shopping_mall,"21 Choa Chu Kang Ave 4, Singapore 689812",Choa Chu Kang,174330,11,0
298,Siglap Centre,ChIJsQIGh6Qi2jERe_QRQMSHGho,1.3124678,103.9232359,8W6F+X7 Singapore,3.6,522,OPERATIONAL,shopping_mall,"55 Siglap Rd, Singapore 455871",Bedok,289750,1,0
299,MBS,ChIJsfkrkRwZ2jERGr_KpGzDJN8,1.2831625,103.8607379,7VM6+77 Singapore,4.6,529,OPERATIONAL,shopping_mall,"10 Bayfront Ave, Singapore 018956",Downtown Core,3720,15,1
300,Tanglin Place,ChIJt10jr4sZ2jERo_UCZbIlPvE,1.3053098,103.8250961,8R4G+42 Singapore,3.7,42,OPERATIONAL,shopping_mall,"91 Tanglin Rd, Singapore 247918",Orchard,920,9,7
301,Hong Lim Complex,ChIJtcJ9nwwZ2jER6VVZzSbA4bA,1.2844981,103.8458869,7RMW+Q9 Singapore,3.9,990,OPERATIONAL,shopping_mall,"175 South Bridge Rd, Singapore 058740",Outram,22080,24,13
302,Goldhill Plaza Mall,ChIJtxtC6OcZ2jERqVnzRgkZXvo,1.3179851,103.8429051,8R9V+55 Singapore,3.6,170,OPERATIONAL,shopping_mall,"1 Goldhill Plaza, Singapore 308900",Novena,47990,18,5
303,One Fullerton,ChIJu1_G5ggZ2jERTrdta7SO3A8,1.2861349,103.8539595,7VP3+FH Singapore,4.4,989,OPERATIONAL,shopping_mall,"1 Fullerton Rd, Singapore 049213",Downtown Core,3720,26,7
304,Our Tampines Hub,ChIJu487hQ092jER1DJRGc0isoE,1.3529604,103.9403451,9W3R+54 Singapore,4.5,7466,OPERATIONAL,shopping_mall,"1 Tampines Walk, Singapore 528523",Tampines,261230,0,5
305,The Oasis - Space for Rent,ChIJuUXzGrMb2jERGj-8yzwcIuQ,1.2877321,103.7903725,7QQR+34 Singapore,3.9,222,OPERATIONAL,shopping_mall,"87 Science Park Dr, Singapore 118260",Queenstown,98050,7,0
306,The Promenade @ Pelikat,ChIJuVnrcbcX2jERVU3OQykaQo4,1.3551225,103.8875314,9V4Q+22 Singapore,3.7,285,OPERATIONAL,shopping_mall,"183 Jln Pelikat, Singapore 537643",Hougang,222310,10,0
307,Katong Shopping Centre,ChIJuXIJwG0Y2jERSMkMTyIynBQ,1.303903,103.9011732,8W32+HF Singapore,3.6,1267,OPERATIONAL,shopping_mall,"865 Mountbatten Rd, Singapore 437844",Marine Parade,,10,1
308,Tiong Bahru Plaza - Eating & Meeting Place,ChIJueYns70Z2jERNLF-jAOzAuU,1.2864763,103.8271508,7RPG+HV Singapore,4.2,17,OPERATIONAL,shopping_mall,"302 Tiong Bahru Rd, Singapore 168732",Bukit Merah,,10,1
